timestep	volume	lx	ly	lz	potential_energy	kinetic_energy	temperature	pressure
7200	9261	21	21	21	-442.9710657	579.5387869	0.5640280164	0.02289889513
7300	9261	21	21	21	-426.0476524	601.6747479	0.5855715308	0.01954321001
7400	9261	21	21	21	-438.2909981	623.4387645	0.6067530555	0.02589049631
7500	9261	21	21	21	-427.9826563	615.3765019	0.5989065712	0.02186543249
7600	9261	21	21	21	-422.3085106	633.3122536	0.6163622906	0.02935593074
7700	9261	21	21	21	-431.3917952	610.418517	0.5940812818	0.02152590746
7800	9261	21	21	21	-439.5042049	604.8156349	0.5886283551	0.02139835222
7900	9261	21	21	21	-423.8835081	601.6389042	0.5855366464	0.02787868537
8000	9261	21	21	21	-437.7296292	607.9594888	0.5916880669	0.02302356693
8100	9261	21	21	21	-444.994287	640.5888534	0.6234441396	0.02892252228
8200	9261	21	21	21	-454.4664917	640.6785908	0.6235314752	0.01586350311
8300	9261	21	21	21	-447.5841811	638.3898214	0.6213039624	0.02354643965
8400	9261	21	21	21	-455.7236283	662.7577553	0.6450197132	0.02728993227
8500	9261	21	21	21	-472.6310722	640.2769216	0.6231405563	0.02733248614
8600	9261	21	21	21	-434.7638824	598.1532773	0.5821443088	0.02537029639
8700	9261	21	21	21	-439.0708109	604.1324535	0.5879634584	0.02842193276
8800	9261	21	21	21	-459.639174	639.0181864	0.6219155098	0.02202440385
8900	9261	21	21	21	-444.0725205	590.5764427	0.5747702605	0.02396969732
9000	9261	21	21	21	-456.1634434	608.3832426	0.5921004794	0.02908770694
9100	9261	21	21	21	-451.7600182	645.4770722	0.6282015301	0.02144102003
9200	9261	21	21	21	-471.623919	632.9610109	0.6160204485	0.02806183092
9300	9261	21	21	21	-497.8061553	627.6920959	0.6108925508	0.02195616028
9400	9261	21	21	21	-499.338564	627.3641415	0.6105733737	0.03212880952
9500	9261	21	21	21	-492.9005873	621.5049054	0.6048709541	0.03425232765
9600	9261	21	21	21	-486.9523252	614.8444906	0.5983887986	0.02555094025
9700	9261	21	21	21	-495.4000886	623.3112874	0.6066289902	0.02295876129
9800	9261	21	21	21	-530.8465638	633.1650743	0.6162190504	0.02519289927
9900	9261	21	21	21	-512.1565179	616.1079261	0.5996184196	0.02514334017
