timestep	volume	lx	ly	lz	potential_energy	kinetic_energy	temperature	pressure
0	9261	21	21	21	0	0	0	0
100	9261	21	21	21	-8.505914705	518.8256176	0.5049397738	0.03552205213
200	9261	21	21	21	-52.20316875	705.3461672	0.6864682892	0.04590001008
300	9261	21	21	21	-114.9419598	800.0993088	0.7786854587	0.05147637523
400	9261	21	21	21	-147.1997907	791.5609913	0.7703756607	0.04700448283
500	9261	21	21	21	-176.282943	852.4400281	0.8296253315	0.05742322598
600	9261	21	21	21	-182.9215148	848.2676038	0.8255645779	0.05909217759
700	9261	21	21	21	-195.4226647	849.626199	0.8268868117	0.05413438512
800	9261	21	21	21	-204.2123312	789.0826096	0.7679636103	0.04512666303
900	9261	21	21	21	-208.0480983	799.6399816	0.7782384249	0.04255967184
1000	9261	21	21	21	-210.3654385	783.3056021	0.7623412186	0.04421476031
1100	9261	21	21	21	-221.7870664	805.3383434	0.7837842758	0.0443513883
1200	9261	21	21	21	-215.7740915	838.8007585	0.8163511032	0.05155007393
1300	9261	21	21	21	-229.7622512	839.0680001	0.8166111923	0.04350723426
1400	9261	21	21	21	-233.2588478	832.8554117	0.8105648776	0.04162687673
1500	9261	21	21	21	-231.1928356	818.9456237	0.797027371	0.04843675582
1600	9261	21	21	21	-246.4022294	856.5946094	0.8336687196	0.04492322533
1700	9261	21	21	21	-247.640114	860.9259621	0.8378841481	0.0488714471
1800	9261	21	21	21	-249.7986874	814.1807906	0.7923900639	0.04047091999
1900	9261	21	21	21	-238.053919	836.5963897	0.814205732	0.04739840944
2000	9261	21	21	21	-250.1178983	885.8967797	0.8621866469	0.0571993351
2100	9261	21	21	21	-256.5779981	855.2385237	0.8323489282	0.04960560729
2200	9261	21	21	21	-259.6302938	819.4658405	0.7975336648	0.04386421559
2300	9261	21	21	21	-264.4474702	858.1201694	0.8351534495	0.04598914982
2400	9261	21	21	21	-265.1141021	776.8517988	0.7560601448	0.04271771877
2500	9261	21	21	21	-250.5174895	761.5473437	0.741165298	0.04498485154
2600	9261	21	21	21	-253.3319747	803.371951	0.7818705119	0.04133455315
2700	9261	21	21	21	-249.0873873	770.4822077	0.7498610294	0.04441670166
2800	9261	21	21	21	-246.2958237	812.2916533	0.7905514874	0.04488389891
2900	9261	21	21	21	-232.8659788	815.2473832	0.7934281102	0.05202003325
3000	9261	21	21	21	-237.378144	828.2503127	0.8060830294	0.0445102717
3100	9261	21	21	21	-240.1598593	793.6665561	0.7724248722	0.04206694344
3200	9261	21	21	21	-242.8163107	836.1002183	0.8137228402	0.0446531242
3300	9261	21	21	21	-231.8468695	816.154331	0.7943107844	0.04187938386
3400	9261	21	21	21	-220.6135417	825.6249604	0.803527942	0.05134820979
3500	9261	21	21	21	-237.4498795	797.3260844	0.7759864568	0.04308143952
3600	9261	21	21	21	-234.8562322	778.7288481	0.7578869568	0.03937652046
3700	9261	21	21	21	-243.881021	850.2915424	0.8275343478	0.04575162869
3800	9261	21	21	21	-257.127854	851.9425235	0.8291411421	0.04532054581
3900	9261	21	21	21	-256.5669791	811.0187381	0.7893126405	0.05042500283
4000	9261	21	21	21	-256.498434	834.5734413	0.8122369258	0.05037537929
4100	9261	21	21	21	-255.9149497	858.893308	0.8359058959	0.04482101048
4200	9261	21	21	21	-269.5820454	840.0695484	0.8175859352	0.04922020324
